"","ResponseID","condition","dis","accuracy"
"1","E10","Generate","disfluent",0.6
"2","E10","Generate","fluent",0.416666666666667
"3","E11","Generate","disfluent",0.4
"4","E11","Generate","fluent",0.166666666666667
"5","E12","Generate","disfluent",0.5
"6","E12","Generate","fluent",0.166666666666667
"7","E13","Generate","disfluent",0.1
"8","E13","Generate","fluent",0.0833333333333333
"9","E14","Generate","disfluent",0.9
"10","E14","Generate","fluent",0.583333333333333
"11","E15","Generate","disfluent",0.6
"12","E15","Generate","fluent",0.416666666666667
"13","E16","Generate","disfluent",0
"14","E16","Generate","fluent",0
"15","E17","Generate","disfluent",0.5
"16","E17","Generate","fluent",0
"17","E18","Generate","disfluent",0.8
"18","E18","Generate","fluent",0.666666666666667
"19","E19","Generate","disfluent",0.2
"20","E19","Generate","fluent",0.0833333333333333
"21","E2","Generate","disfluent",0.7
"22","E2","Generate","fluent",0.416666666666667
"23","E20","Generate","disfluent",0.4
"24","E20","Generate","fluent",0.166666666666667
"25","E21","Generate","disfluent",0.4
"26","E21","Generate","fluent",0.25
"27","E22","Generate","disfluent",0.4
"28","E22","Generate","fluent",0.416666666666667
"29","E23","Generate","disfluent",0.2
"30","E23","Generate","fluent",0.0833333333333333
"31","E24","Generate","disfluent",0.4
"32","E24","Generate","fluent",0.25
"33","E25","Generate","disfluent",0.7
"34","E25","Generate","fluent",0.0833333333333333
"35","E26","Generate","disfluent",0.8
"36","E26","Generate","fluent",0.666666666666667
"37","E27","Generate","disfluent",0.6
"38","E27","Generate","fluent",0.166666666666667
"39","E28","Generate","disfluent",0.4
"40","E28","Generate","fluent",0.166666666666667
"41","E29","Generate","disfluent",0.6
"42","E29","Generate","fluent",0.5
"43","E3","Generate","disfluent",0
"44","E3","Generate","fluent",0
"45","E30","Generate","disfluent",0.5
"46","E30","Generate","fluent",0.25
"47","E31","Generate","disfluent",0.4
"48","E31","Generate","fluent",0.0833333333333333
"49","E32","Generate","disfluent",0.8
"50","E32","Generate","fluent",0.416666666666667
"51","E33","Generate","disfluent",0
"52","E33","Generate","fluent",0
"53","E34","Generate","disfluent",0.7
"54","E34","Generate","fluent",0.166666666666667
"55","E35","Generate","disfluent",0.2
"56","E35","Generate","fluent",0.166666666666667
"57","E36","Generate","disfluent",0.2
"58","E36","Generate","fluent",0
"59","E37","Generate","disfluent",0.5
"60","E37","Generate","fluent",0.666666666666667
"61","E38","Generate","disfluent",0.8
"62","E38","Generate","fluent",0.5
"63","E39","Generate","disfluent",0.5
"64","E39","Generate","fluent",0.333333333333333
"65","E4","Generate","disfluent",0.8
"66","E4","Generate","fluent",0.166666666666667
"67","E40","Generate","disfluent",0.6
"68","E40","Generate","fluent",0.416666666666667
"69","E41","Generate","disfluent",0.3
"70","E41","Generate","fluent",0
"71","E42","Generate","disfluent",0.1
"72","E42","Generate","fluent",0.0833333333333333
"73","E43","Generate","disfluent",0.4
"74","E43","Generate","fluent",0.166666666666667
"75","E44","Generate","disfluent",0.6
"76","E44","Generate","fluent",0.166666666666667
"77","E45","Generate","disfluent",0.4
"78","E45","Generate","fluent",0.0833333333333333
"79","E46","Generate","disfluent",0.8
"80","E46","Generate","fluent",0.916666666666667
"81","E47","Generate","disfluent",0.2
"82","E47","Generate","fluent",0.0833333333333333
"83","E48","Generate","disfluent",0.6
"84","E48","Generate","fluent",0.583333333333333
"85","E49","Generate","disfluent",0.6
"86","E49","Generate","fluent",0
"87","E5","Generate","disfluent",0.3
"88","E5","Generate","fluent",0.25
"89","E50","Generate","disfluent",0.2
"90","E50","Generate","fluent",0.0833333333333333
"91","E51","Generate","disfluent",0.3
"92","E51","Generate","fluent",0
"93","E52","Generate","disfluent",0.2
"94","E52","Generate","fluent",0
"95","E53","Generate","disfluent",0.4
"96","E53","Generate","fluent",0
"97","E54","Generate","disfluent",0.5
"98","E54","Generate","fluent",0
"99","E55","Generate","disfluent",0.7
"100","E55","Generate","fluent",0.583333333333333
"101","E56","Generate","disfluent",0.4
"102","E56","Generate","fluent",0.416666666666667
"103","E57","Generate","disfluent",0.4
"104","E57","Generate","fluent",0.25
"105","E58","Generate","disfluent",0.2
"106","E58","Generate","fluent",0
"107","E59","Generate","disfluent",0.2
"108","E59","Generate","fluent",0
"109","E6","Generate","disfluent",0.3
"110","E6","Generate","fluent",0.0833333333333333
"111","E7","Generate","disfluent",0.7
"112","E7","Generate","fluent",0.25
"113","E8","Generate","disfluent",0.6
"114","E8","Generate","fluent",0.25
"115","E9","Generate","disfluent",0
"116","E9","Generate","fluent",0
"117","M10","Sans Forgetica","disfluent",0.25
"118","M10","Sans Forgetica","fluent",0.4
"119","M12","Sans Forgetica","disfluent",0
"120","M12","Sans Forgetica","fluent",0
"121","M13","Sans Forgetica","disfluent",0
"122","M13","Sans Forgetica","fluent",0
"123","M14","Sans Forgetica","disfluent",0.416666666666667
"124","M14","Sans Forgetica","fluent",0.2
"125","M15","Sans Forgetica","disfluent",0.166666666666667
"126","M15","Sans Forgetica","fluent",0.2
"127","M16","Sans Forgetica","disfluent",0.5
"128","M16","Sans Forgetica","fluent",0.8
"129","M17","Sans Forgetica","disfluent",0
"130","M17","Sans Forgetica","fluent",0
"131","M18","Sans Forgetica","disfluent",0.166666666666667
"132","M18","Sans Forgetica","fluent",0.2
"133","M19","Sans Forgetica","disfluent",0.25
"134","M19","Sans Forgetica","fluent",0.6
"135","M2","Sans Forgetica","disfluent",0.0833333333333333
"136","M2","Sans Forgetica","fluent",0.2
"137","M20","Sans Forgetica","disfluent",0.333333333333333
"138","M20","Sans Forgetica","fluent",0.5
"139","M21","Sans Forgetica","disfluent",0.333333333333333
"140","M21","Sans Forgetica","fluent",0.5
"141","M22","Sans Forgetica","disfluent",0.0833333333333333
"142","M22","Sans Forgetica","fluent",0.1
"143","M23","Sans Forgetica","disfluent",0.166666666666667
"144","M23","Sans Forgetica","fluent",0.4
"145","M24","Sans Forgetica","disfluent",0.0833333333333333
"146","M24","Sans Forgetica","fluent",0.2
"147","M25","Sans Forgetica","disfluent",0.166666666666667
"148","M25","Sans Forgetica","fluent",0.2
"149","M26","Sans Forgetica","disfluent",0
"150","M26","Sans Forgetica","fluent",0.2
"151","M27","Sans Forgetica","disfluent",0.333333333333333
"152","M27","Sans Forgetica","fluent",0.4
"153","M28","Sans Forgetica","disfluent",0.166666666666667
"154","M28","Sans Forgetica","fluent",0
"155","M29","Sans Forgetica","disfluent",0.666666666666667
"156","M29","Sans Forgetica","fluent",0.5
"157","M3","Sans Forgetica","disfluent",0.25
"158","M3","Sans Forgetica","fluent",0.6
"159","M30","Sans Forgetica","disfluent",0.333333333333333
"160","M30","Sans Forgetica","fluent",0.1
"161","M31","Sans Forgetica","disfluent",0.25
"162","M31","Sans Forgetica","fluent",0.0909090909090909
"163","M32","Sans Forgetica","disfluent",0
"164","M32","Sans Forgetica","fluent",0.1
"165","M33","Sans Forgetica","disfluent",0.416666666666667
"166","M33","Sans Forgetica","fluent",0.2
"167","M34","Sans Forgetica","disfluent",0.166666666666667
"168","M34","Sans Forgetica","fluent",0.3
"169","M35","Sans Forgetica","disfluent",0.166666666666667
"170","M35","Sans Forgetica","fluent",0.3
"171","M36","Sans Forgetica","disfluent",0.166666666666667
"172","M36","Sans Forgetica","fluent",0.2
"173","M37","Sans Forgetica","disfluent",0.25
"174","M37","Sans Forgetica","fluent",0
"175","M38","Sans Forgetica","disfluent",0.0625
"176","M38","Sans Forgetica","fluent",0
"177","M39","Sans Forgetica","disfluent",0.166666666666667
"178","M39","Sans Forgetica","fluent",0.5
"179","M4","Sans Forgetica","disfluent",0.666666666666667
"180","M4","Sans Forgetica","fluent",0.6
"181","M40","Sans Forgetica","disfluent",0.166666666666667
"182","M40","Sans Forgetica","fluent",0.5
"183","M41","Sans Forgetica","disfluent",0.166666666666667
"184","M41","Sans Forgetica","fluent",0.2
"185","M42","Sans Forgetica","disfluent",0.583333333333333
"186","M42","Sans Forgetica","fluent",0.7
"187","M43","Sans Forgetica","disfluent",0
"188","M43","Sans Forgetica","fluent",0.3
"189","M44","Sans Forgetica","disfluent",0
"190","M44","Sans Forgetica","fluent",0.1
"191","M45","Sans Forgetica","disfluent",0.25
"192","M45","Sans Forgetica","fluent",0.4
"193","M46","Sans Forgetica","disfluent",0.666666666666667
"194","M46","Sans Forgetica","fluent",0.7
"195","M47","Sans Forgetica","disfluent",0.5
"196","M47","Sans Forgetica","fluent",0.7
"197","M48","Sans Forgetica","disfluent",0.333333333333333
"198","M48","Sans Forgetica","fluent",0.4
"199","M49","Sans Forgetica","disfluent",0.166666666666667
"200","M49","Sans Forgetica","fluent",0.4
"201","M5","Sans Forgetica","disfluent",0.666666666666667
"202","M5","Sans Forgetica","fluent",0.5
"203","M50","Sans Forgetica","disfluent",0.75
"204","M50","Sans Forgetica","fluent",0.9
"205","M51","Sans Forgetica","disfluent",0.583333333333333
"206","M51","Sans Forgetica","fluent",0.9
"207","M52","Sans Forgetica","disfluent",0.166666666666667
"208","M52","Sans Forgetica","fluent",0
"209","M53","Sans Forgetica","disfluent",0.833333333333333
"210","M53","Sans Forgetica","fluent",0.7
"211","M54","Sans Forgetica","disfluent",0.333333333333333
"212","M54","Sans Forgetica","fluent",0.7
"213","M55","Sans Forgetica","disfluent",0.166666666666667
"214","M55","Sans Forgetica","fluent",0
"215","M56","Sans Forgetica","disfluent",0
"216","M56","Sans Forgetica","fluent",0
"217","M57","Sans Forgetica","disfluent",0.75
"218","M57","Sans Forgetica","fluent",0.8
