"","V1","Finished","Progress","Q434","Q435","Q436","Q437","Q438","Q439","Q440","Q441","Q442","Q443","Q444","Q445","Q447","Q448","Q449","Q450","Q451","Q452","Q453","Q454","Q455","Q456","Q457","Q458"
"1","E1","{""ImportId"":""finished""}","{""ImportId"":""progress""}","{""ImportId"":""QID804_TEXT""}","{""ImportId"":""QID805_TEXT""}","{""ImportId"":""QID806_TEXT""}","{""ImportId"":""QID807_TEXT""}","{""ImportId"":""QID808_TEXT""}","{""ImportId"":""QID809_TEXT""}","{""ImportId"":""QID810_TEXT""}","{""ImportId"":""QID811_TEXT""}","{""ImportId"":""QID812_TEXT""}","{""ImportId"":""QID813_TEXT""}","{""ImportId"":""QID814_TEXT""}","{""ImportId"":""QID815_TEXT""}","{""ImportId"":""QID817_TEXT""}","{""ImportId"":""QID818_TEXT""}","{""ImportId"":""QID819_TEXT""}","{""ImportId"":""QID820_TEXT""}","{""ImportId"":""QID821_TEXT""}","{""ImportId"":""QID822_TEXT""}","{""ImportId"":""QID823_TEXT""}","{""ImportId"":""QID824_TEXT""}","{""ImportId"":""QID825_TEXT""}","{""ImportId"":""QID826_TEXT""}","{""ImportId"":""QID827_TEXT""}","{""ImportId"":""QID828_TEXT""}"
"2","E52","TRUE","100","point","pair","tongue","seat","machine","pair","english","part","men","bed","figure","tongue","road","stall","paper","flag","book","printer","picture","pave","card","dollar","degree","station"
"3","E29","TRUE","100",NA,NA,NA,"mother","product",NA,"foreign",NA,"world","cover",NA,"touch","shape","machine","supper",NA,NA,"doctor","picture",NA,NA,"dollar","student","plane"
"4","E19","TRUE","100","plane","shape","swallow","mother","building","people","original","thing","humans","metal","tree","eat","plane","car","dinner","state","book","building","picture","area","status","dime","school","plane"
"5","E40","TRUE","100","corner","square","sore","mother","place","people","foreign","item","family","cover","tree","touch","shape","motor","supper","country","story","worker","picture","road","paper","dollar","student","plane"
"6","E35","TRUE","100","space","cube","voice","mother","worker","team","born","thing","group","cover","wood","food","shape","car","meal","state","book","work","color","area","tell","money","school","station"
"7","E8","TRUE","100","view","exit","touch","mother","worker","meeting","people","table","meeting","paper","tree","touch","round","train","supper","state","book","desk","picture","stove","weather","dollar","student","plane"
"8","E4","TRUE","100","shape","street","sing","mother","products","people","people","solid","country","bed","tree","smell","shape","machine","supper","state","story","meeting","color","vocal","weather","dollar","student","plane"
"9","E38","TRUE","100","corner","street","singer","mother","product","person","foreign","thing","person","cover","bat","mouth","form","machine","supper","state","story","building","picture","road","weather","dollar","student","plane"
"10","E31","TRUE","100","right","street","voice","parent","worker","team","indian","shape","group","paper","toy","food","shape","train","dinner","state","story","table","brush","wide","score","dollar","school","station"
"11","E15","TRUE","100","curve","street","taste","mother","produced","member","citizen","subject",NA,"cover","branch","touch","angle","machine","supper","country","story",NA,"picture","open",NA,"dollar","student","plane"
"12","E42","TRUE","100","Curve","Neighbor","Sore","Mother","Machine","Class","Speaker","There","Guy","Pan","Shovel","Food","Shape","Car","Dinner","America","Book","Plant","Room","Close","Card","Year","Degree","Plane"
"13","E59","TRUE","100","curve","items","neck","adult","work","crowd","local","item","men","paper","boare","sip","road","motor","dinner","state","book","home","wall","area","essay","dollar","school","plane"
"14","E5","TRUE","100","curve","cube","neck","mother","machine",NA,"foreign",NA,NA,NA,"branch","food","sharp","machine",NA,"state","book","space",NA,"stove","nws","dollar","school","plane"
"15","E27","TRUE","100",NA,"street","neck","mother",NA,NA,"state",NA,"person","music",NA,"tongue","line","motor","supper","state","story",NA,"picture",NA,"card","dollar","student","plane"
"16","E6","TRUE","100",NA,NA,NA,NA,NA,NA,NA,"table",NA,NA,"branch",NA,"angle",NA,NA,"state","book","doctor","picture",NA,"stack",NA,"student","plane"
"17","E45","TRUE","100","shape","angle",NA,"parent",NA,NA,"foreign","angle",NA,"canvas",NA,NA,"shape","train","supper","state","book","doctor",NA,NA,NA,"dollar","class",NA
"18","E14","TRUE","100","corner","street","voice",NA,"product",NA,"foreign",NA,"world",NA,"branch","touch","shape","machine","supper","state","story","doctor","picture",NA,"weather","dollar","student","plane"
"19","E25","TRUE","100","edge","square","nose","Baby","workers","home","state","thing","world","paper","wood","food","shape","machine","supper","state","story","supplies","artist","gun","test","dollar","student","plane"
"20","E53","TRUE","100","shape",NA,"voice",NA,NA,"share",NA,NA,"group",NA,"tree","sense","shape","machine",NA,"state","story","space",NA,NA,NA,NA,NA,NA
"21","E16","TRUE","100","deep","brick","pain","care","worker","gathering","village","placeent","crowd","paper","slack","buds","line","room","table","building","winner","arrangement","brush","rover","paper","back","graduate","track"
"22","E33","TRUE","100","curve","ice",NA,NA,NA,NA,NA,NA,"person","paper",NA,"smell","line",NA,"box",NA,NA,NA,"wet",NA,"project",NA,NA,"plane"
"23","E20","TRUE","100","degree","house","cold","mother","product","decision","state","dot","unity","paper","curve","sweet","graph","driver","supper","state","book","doctor","picture","level","answer","child","student","plane"
"24","E12","TRUE","100","sharp","wall","voice","adult",NA,"people","foreign","place","nation",NA,"branch","shape","shape","machine","supper","state","poem",NA,NA,NA,"spot","dollar",NA,"car"
"25","E7","TRUE","100","curve",NA,NA,"mother","product",NA,"foreign",NA,NA,"bed",NA,NA,"shape","machine",NA,NA,"story","doctor","picture","rifle","weather","dollar","student","plane"
"26","E54","TRUE","100","straight","party","mouth","adult","warehouse","project","land","thing","person","paper","figure","tongue","straight","machine","food","state","story","space","brush","rover","book","dollar","student","plane"
"27","E37","TRUE","100","corner","street","voice","mother","building","meeting","foreign","symbol","group","cover","figure","touch","shop","machine","supper","state","book","doctor","artist","vocal","sheet","dollar","student","plane"
"28","E18","TRUE","100","corner","street","voice","mother","worker","meeting","foreign","symbol",NA,"cover","branches","touch","shape","machine","supper","state","story","doctor","brush",NA,"weather","dollar","student",NA
"29","E43","TRUE","100","shape","neighborhood","sore","school","machine","meeting","person","curve","world","metal","tree","smell","object","machine","supper","state","book","building","picture","field","file","coin","education","plane"
