"","V1","Finished","Progress","Q434","Q435","Q436","Q437","Q438","Q439","Q440","Q441","Q442","Q443","Q444","Q445","Q447","Q448","Q449","Q450","Q451","Q452","Q453","Q454","Q455","Q456","Q457","Q458"
"1","W1","{""ImportId"":""finished""}","{""ImportId"":""progress""}","{""ImportId"":""QID804_TEXT""}","{""ImportId"":""QID805_TEXT""}","{""ImportId"":""QID806_TEXT""}","{""ImportId"":""QID807_TEXT""}","{""ImportId"":""QID808_TEXT""}","{""ImportId"":""QID809_TEXT""}","{""ImportId"":""QID810_TEXT""}","{""ImportId"":""QID811_TEXT""}","{""ImportId"":""QID812_TEXT""}","{""ImportId"":""QID813_TEXT""}","{""ImportId"":""QID814_TEXT""}","{""ImportId"":""QID815_TEXT""}","{""ImportId"":""QID817_TEXT""}","{""ImportId"":""QID818_TEXT""}","{""ImportId"":""QID819_TEXT""}","{""ImportId"":""QID820_TEXT""}","{""ImportId"":""QID821_TEXT""}","{""ImportId"":""QID822_TEXT""}","{""ImportId"":""QID823_TEXT""}","{""ImportId"":""QID824_TEXT""}","{""ImportId"":""QID825_TEXT""}","{""ImportId"":""QID826_TEXT""}","{""ImportId"":""QID827_TEXT""}","{""ImportId"":""QID828_TEXT""}"
"2","W52","TRUE","100","corner","street","sing","parent","product",NA,"foreign","symbol","world","c","branch",NA,"angle","machine","supper","people","story","doctor",NA,"rifle",NA,"dollar","student",NA
"3","W51","TRUE","100","corner",NA,NA,"mother",NA,"meeting",NA,NA,NA,NA,"branch",NA,NA,NA,"dinner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","W19","TRUE","100",NA,NA,NA,NA,NA,"task",NA,"thing",NA,NA,NA,"bud",NA,"compartment","supper","state",NA,NA,NA,"rifle",NA,NA,"student",NA
"5","W40","TRUE","100","corner","street",NA,NA,"product",NA,NA,NA,NA,"cover",NA,NA,"shape","machine",NA,"state",NA,NA,NA,NA,NA,NA,NA,"plane"
"6","W39","TRUE","100","shape","shape","cough","mother","machine","home","nation",NA,NA,"paper",NA,NA,"shape","machine","menu","state",NA,NA,NA,"rifle",NA,"dollar","student","station"
"7","W56","TRUE","100",NA,NA,"vocal","parent","work",NA,"foreign",NA,"country","blanket",NA,"smell",NA,NA,"supper","country",NA,NA,NA,NA,NA,"dollar","student","plane"
"8","W55","TRUE","100",NA,"city",NA,NA,NA,NA,NA,NA,NA,NA,NA,"touch",NA,NA,NA,NA,"read",NA,"picture",NA,NA,NA,NA,"rail"
"9","W25","TRUE","100",NA,"street",NA,NA,NA,NA,"foreigner",NA,NA,NA,"branch",NA,NA,NA,"supper","state","story",NA,NA,"rifle","card","dollar","university","plane"
"10","W46","TRUE","100","corner","square","voice","mother","industry","meeting","foreign","thing","world","cover","branch","thirst","round","car","supper","people","write","work","brush","rife","group","dollar","school","plane"
"11","W9","TRUE","100","curve",NA,"voice",NA,"product","meeting","foreign","symbol","world",NA,"tree",NA,"angle","machine","supper","state",NA,NA,NA,"rifle",NA,"dollar","student","plane"
"12","W16","TRUE","100","corner","street","voice","mother","plant","people","foreigner","stuff","worker","cover","branch","food","shape","machine","dinner","foreign","story","president","thinner","rifle","project","dollar","classes","plane"
"13","W33","TRUE","100","curve","street",NA,NA,NA,"meeting","foreign","symbol","world","cover",NA,"touch",NA,"machine","supper","country","story",NA,NA,"rifle",NA,"dollar","student","engine"
"14","W35","TRUE","100","corner",NA,NA,NA,NA,"meeting","state",NA,"world","paper","branch","touch","corner","steam","supper","state","book",NA,"picture","rifle",NA,"dime",NA,"track"
"15","W20","TRUE","100","corner",NA,NA,NA,"industrial",NA,NA,NA,NA,NA,NA,NA,NA,"motor",NA,NA,"story",NA,NA,NA,NA,NA,NA,NA
"16","W2","TRUE","100","corner","street","lozenge","bride","worker","people","american","symbol","group","music","ball","aquire","symbol","room","bucket","state","read","worker","picture","area","card","mile","student","track"
"17","W38","TRUE","100","curve","house","voice","mother","product",NA,NA,NA,"world","cover",NA,"touch","angle","machine",NA,"state",NA,NA,NA,"rifle","weather","dollar","student","plane"
"18","W47","TRUE","100",NA,"STREET","VOICE","MOM","PRODUCT",NA,NA,NA,"WORLD","COVER","BRANCH","TOUCH","SHAPE","MACHINE","SUPPER","STATE",NA,"WORKER","PICTURE","STOVE",NA,"DOLLAR","STUDENT","PLANE"
"19","W37","TRUE","100","corner","square","voice","mother","product","meeting","foreign","shape","planet","cover","tree","touch","shape","machine","supper","state","book","chair","picture","rifle","weather","dollar","student","plane"
"20","W17","TRUE","100",NA,NA,"sing","parent",NA,NA,NA,"symbol",NA,"paper","branch",NA,NA,"machine",NA,NA,"story","work","picture","rifle","sheet",NA,NA,"station"
"21","W58","TRUE","100",NA,NA,"voice","mother",NA,NA,NA,NA,NA,NA,NA,NA,NA,"machine",NA,NA,"writer",NA,NA,"rifle","weather",NA,"student",NA
"22","W13","TRUE","100","corner","street","voice","mother","product","meeting","foreign","symbol","world","cover","branch","touch","shape","machine","supper","state","story","doctor","portrait","rifle","weather","dollar","student","plane"
"23","W24","TRUE","100",NA,"wall",NA,"mother",NA,NA,NA,NA,NA,"paper",NA,"tongue","shape","truck",NA,NA,"book",NA,"picture","rifle",NA,NA,"student",NA
"24","W23","TRUE","100",NA,NA,NA,"adult","machine",NA,NA,NA,"human","paper",NA,NA,NA,NA,"supper",NA,"book","building","bucket",NA,"document","dollar",NA,"plane"
"25","W41","TRUE","100","corner","party","neck","mother","job","people","english","none","group","music","tree","food",NA,"car","dinner","state","book","worker","wall","power","card","back","degree","bus"
"26","W12","TRUE","100","corner","street",NA,"children","machine",NA,NA,NA,NA,"cover","branch",NA,"shape","machine","supper","state","story","doctor",NA,"rifle",NA,NA,"student",NA
"27","W36","TRUE","100","MEASURE","STREET","NOSE","KID","WORKER","PEOPLE","PERSON","TASTE","PERSON","PILLOW","WEAPON","TOUCH","RATIO","MACHINE","SUPPER","STATE","BOOK","SPACE","BRUSH","RIFLE","BOOK","DOLLAR","STUDENT","TRACKS"
"28","W22","TRUE","100","side","age","sore","adult","made","work","english","space","place","paper","n/a","bud","ball","fire","break","wide","book","space","ball","gun","card","back","student","station"
"29","W31","TRUE","100","curve","street","neck","mother","worker","people","tribe","symbol","world","cover","branch","touch","shape","machine","supper","state","story","doctor","cover","gun","doctor","dollar","student","plane"
"30","W53","TRUE","100","corner","street","voice","mother",NA,NA,"foreign","shape","nation","cover","branch","touch","shape",NA,NA,"state",NA,"meeting",NA,"rifle",NA,"dollar","student","plane"
"31","W7","TRUE","100","not sure","not sure","voice","mother","worker","not sure","immagrant","not sure","world","paper","branch","food","shape","machine","supper","not sure","story","not sure","picture","rifle","weather","dollar","student","plane"
"32","W43","TRUE","100",NA,NA,"voice","mother",NA,"meeting",NA,NA,NA,NA,"branch","lick",NA,"machine","supper",NA,NA,"doctor",NA,NA,NA,"dollar",NA,"rail"
"33","W26","TRUE","100","line","buster","cancer","at play","reset","class","country","ive","are","music","stickly","buds","road","block","table","of","book","space","it black","of motion","card","panel","class","horn"
"34","W59","TRUE","100","corner","party","voice","parent","building","project","foreign","build","party","paper","branch","bud","round","block","supper","state","story","chair","brush","rifle","paper","size","student","plane"
"35","W48","TRUE","100","corner",NA,NA,"mother",NA,"meeting","people","symbol","world","cover",NA,NA,NA,"machine",NA,"state",NA,"doctor",NA,"rifle","weather","dollar","student","plane"
"36","W44","TRUE","100",NA,NA,"eyes","care","product",NA,"language","shape","crowd","paper",NA,NA,"shape","product","supper","flag","story","block","wall",NA,NA,NA,"degree",NA
"37","W6","TRUE","100","corner",NA,"voice","mother","product",NA,"foreign",NA,"world","cover","branch","touch","shape","machine","supper","state",NA,NA,"picture","rifle",NA,"dollar","student","plane"
"38","W11","TRUE","100","curve","surface","voice","sibling","machine","meeting","foreign","surface","nation","paper","branch","tongue","straight","machine","noon","country","story","meeting","picture","rifle","weather","dollar","school","plane"
"39","W8","TRUE","100","corner","street","voice","mother","product","meeting","flora","item","world","bed","wood","touch","shape","machine","supper","state","book","doctor","picture","rifle","document","dollar","student","plane"
"40","W27","TRUE","100","plane","sand","neck","baby","workers","association","speaker","door","human","pan","branch","sweet","shape","mechanic","dinner","country","book","work","wall","rifle","news","half","school","plane"
"41","W28","TRUE","100",NA,NA,NA,"mother",NA,NA,"foreign",NA,NA,NA,NA,"touch","shape","machine",NA,"state","story",NA,NA,"rifle","weather",NA,"student",NA
"42","W29","TRUE","100","corner","street","voice","mother","office","team","land","figure","person","paper","ball","eat","angle","train","box","state","story","building","black","shoot","paper","dollar","professor","plane"
"43","W4","TRUE","100","corner","street","voice","mother","brick","peer","foreign","symbol","friend","cloth","gum","food","angle","machine","supper","state","story","doctor","color","rifle","weather","dollar","student","rail"
"44","W5","TRUE","100",NA,NA,NA,NA,"product",NA,"foriegn",NA,NA,"cover",NA,"food",NA,"machine",NA,"state","story","report","brush","rifle","office","dollar","school",NA
"45","W15","TRUE","100","corner",NA,"cough","parent","building",NA,NA,NA,"crowd",NA,NA,"touch",NA,"car",NA,"country","story",NA,"wall",NA,NA,"coin","school","rail"
"46","W18","TRUE","100","corner","street","voice","mother",NA,"meeting","foreign","symbol","world","cover","branch","touch","angle",NA,"supper","state","story",NA,"picture",NA,NA,"dollar",NA,"plane"
"47","W32","TRUE","100","corner",NA,"voice","mother","machine","people","world",NA,"world","cover","stiker","food","corner","machine","super","people","people","ceo","colour","rover","write","whole","student","passenger"
"48","W14","TRUE","100","corner",NA,"voice","mother","product",NA,"foreign","symbol",NA,NA,NA,"touch","shape","machine","supper","foreign",NA,NA,NA,NA,NA,"dollar",NA,NA
"49","W21","TRUE","100","CORNAR","street","throw","MOTHER","product","meeting","foreign","subject","man","paper","pencil","touch","stright","energy","supper","STATE","STORY","doctor","picture","power","news","cuting","class","track"
"50","W45","TRUE","100","corner","street","voice","mother","product","meeting","foreign","symbol","world","cover","branch","touch","shape","machine","supper","state","story","doctor","picture","rifle","weather","dollar","student","plane"
"51","W10","TRUE","100","side","rock","voice","kid","machine","bunch","indian","thing","solo","single","wood","eat","circle","machine","date","country","book","desk","wet","shoot","grade","money","professor","track"
"52","W54","TRUE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"machine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"machine"
"53","W49","TRUE","100",NA,"street","voice","mother","job","people",NA,"thing",NA,"bed",NA,NA,"street",NA,NA,NA,"book",NA,NA,"rifle",NA,"dollar",NA,NA
"54","W42","TRUE","100","triangel","street","voice","mother","building","meeting","forgine","symbol","world","cover","branch","touch","circle","machine","super","country","story","owner","wall","rifle","table","dollar","study","wheel"
"55","W50","TRUE","100","corner","street","voice","mother","shop","people",NA,"shape",NA,NA,"branch",NA,"circle",NA,"supper","state","story","building","picture","rifle","card","dollar","student","plane"
"56","W3","TRUE","100","corner","house","voice","kid","product","people",NA,"item","world","paper","branch","touch","circle","machine","supper","state","book","desk","wall","rifle",NA,"dollar","student","plane"
"57","W57","FALSE","99","corner","street","voice","mother","product","meeting","foreign","symbol","world","cover","branch","touch","shape","machine","dinner","state","story","space","picture","sight","card","dollar","student","track"
"58","W34","FALSE","99","corner","street","voice","mother",NA,NA,"foreign","symbol",NA,"cover","branches","touch","shape","machine","supper","state","story","doctors","picture",NA,"weather","dollar","students","plane"
"59","W30","FALSE","99","wide","street","mouth","mother","fun","gap","man","thing","man","cover","candy","food","street","car","supper","wide","book","desk","color","rifle","bug","dime","student","track"
