"","cue","target","cond","ResponseID","Finished","Progress","question","answer","condition","dis","acc"
"1","angle","corner","flu","E52",TRUE,100,"Q434","point","Generate","fluent",0
"2","angle","corner","flu","E29",TRUE,100,"Q434","0","Generate","fluent",0
"3","angle","corner","flu","E19",TRUE,100,"Q434","plane","Generate","fluent",0
"4","angle","corner","flu","E40",TRUE,100,"Q434","corner","Generate","fluent",1
"5","angle","corner","flu","E35",TRUE,100,"Q434","space","Generate","fluent",0
"6","angle","corner","flu","E8",TRUE,100,"Q434","view","Generate","fluent",0
"7","angle","corner","flu","E4",TRUE,100,"Q434","shape","Generate","fluent",0
"8","angle","corner","flu","E38",TRUE,100,"Q434","corner","Generate","fluent",1
"9","angle","corner","flu","E31",TRUE,100,"Q434","right","Generate","fluent",0
"10","angle","corner","flu","E15",TRUE,100,"Q434","curve","Generate","fluent",0
"11","angle","corner","flu","E42",TRUE,100,"Q434","Curve","Generate","fluent",0
"12","angle","corner","flu","E59",TRUE,100,"Q434","curve","Generate","fluent",0
"13","angle","corner","flu","E5",TRUE,100,"Q434","curve","Generate","fluent",0
"14","angle","corner","flu","E27",TRUE,100,"Q434","0","Generate","fluent",0
"15","angle","corner","flu","E6",TRUE,100,"Q434","0","Generate","fluent",0
"16","angle","corner","flu","E45",TRUE,100,"Q434","shape","Generate","fluent",0
"17","angle","corner","flu","E14",TRUE,100,"Q434","corner","Generate","fluent",1
"18","angle","corner","flu","E25",TRUE,100,"Q434","edge","Generate","fluent",0
"19","angle","corner","flu","E53",TRUE,100,"Q434","shape","Generate","fluent",0
"20","angle","corner","flu","E16",TRUE,100,"Q434","deep","Generate","fluent",0
"21","angle","corner","flu","E33",TRUE,100,"Q434","curve","Generate","fluent",0
"22","angle","corner","flu","E20",TRUE,100,"Q434","degree","Generate","fluent",0
"23","angle","corner","flu","E12",TRUE,100,"Q434","sharp","Generate","fluent",0
"24","angle","corner","flu","E7",TRUE,100,"Q434","curve","Generate","fluent",0
"25","angle","corner","flu","E54",TRUE,100,"Q434","straight","Generate","fluent",0
"26","angle","corner","flu","E37",TRUE,100,"Q434","corner","Generate","fluent",1
"27","angle","corner","flu","E18",TRUE,100,"Q434","corner","Generate","fluent",1
"28","angle","corner","flu","E43",TRUE,100,"Q434","shape","Generate","fluent",0
"29","angle","corner","flu","E34",TRUE,100,"Q434","shape","Generate","fluent",0
"30","angle","corner","flu","E41",TRUE,100,"Q434","plane","Generate","fluent",0
"31","angle","corner","flu","E17",TRUE,100,"Q434","cover","Generate","fluent",0
"32","angle","corner","flu","E55",TRUE,100,"Q434","slope","Generate","fluent",0
"33","angle","corner","flu","E56",TRUE,100,"Q434","corner","Generate","fluent",1
"34","angle","corner","flu","E22",TRUE,100,"Q434","corner","Generate","fluent",1
